2026-04-22 17:57:47.018 INFO pid=134906 tid=134906 tname=coro-main rpc_server.cpp:30 RegisterService | registered rpc service name=raft.RaftRpc
2026-04-22 17:57:47.019 INFO pid=134906 tid=134908 tname=rpc-worker-0 thread_pool.cpp:11 operator() | worker thread started index=0
2026-04-22 17:57:47.019 INFO pid=134906 tid=134909 tname=rpc-worker-1 thread_pool.cpp:11 operator() | worker thread started index=1
2026-04-22 17:57:47.019 INFO pid=134906 tid=134907 tname=rpc-server-main rpc_server.cpp:53 Run | rpc server started ip=127.0.0.1 port=18901 io_threads=1 worker_threads=4 services=1
2026-04-22 17:57:47.019 INFO pid=134906 tid=134910 tname=rpc-worker-2 thread_pool.cpp:11 operator() | worker thread started index=2
2026-04-22 17:57:47.020 INFO pid=134906 tid=134911 tname=rpc-worker-3 thread_pool.cpp:11 operator() | worker thread started index=3
2026-04-22 17:57:47.219 INFO pid=134906 tid=134906 tname=coro-main rpc_channel.cpp:31 RpcChannel | rpc channel created peer=127.0.0.1:18901
2026-04-22 17:57:47.220 INFO pid=134906 tid=134912 tname=rpc-channel-io rpc_channel.cpp:150 onConnection | rpc channel connected peer=127.0.0.1:18901
2026-04-22 17:57:47.222 INFO pid=134906 tid=134906 tname=coro-main coro_smoke.cpp:226 main | OK: coroutine resumed on raft thread; term=42 voteGranted=1
2026-04-22 17:57:47.222 INFO pid=134906 tid=134906 tname=coro-main rpc_channel.cpp:54 ~RpcChannel | rpc channel shutting down peer=127.0.0.1:18901
2026-04-22 17:58:30.405 INFO pid=135152 tid=135152 tname=coro-main rpc_server.cpp:30 RegisterService | registered rpc service name=raft.RaftRpc
2026-04-22 17:58:30.405 INFO pid=135152 tid=135153 tname=rpc-server-main rpc_server.cpp:53 Run | rpc server started ip=127.0.0.1 port=18901 io_threads=1 worker_threads=4 services=1
2026-04-22 17:58:30.405 INFO pid=135152 tid=135154 tname=rpc-worker-0 thread_pool.cpp:11 operator() | worker thread started index=0
2026-04-22 17:58:30.408 INFO pid=135152 tid=135155 tname=rpc-worker-1 thread_pool.cpp:11 operator() | worker thread started index=1
2026-04-22 17:58:30.408 INFO pid=135152 tid=135156 tname=rpc-worker-2 thread_pool.cpp:11 operator() | worker thread started index=2
2026-04-22 17:58:30.408 INFO pid=135152 tid=135157 tname=rpc-worker-3 thread_pool.cpp:11 operator() | worker thread started index=3
2026-04-22 17:58:30.605 INFO pid=135152 tid=135152 tname=coro-main rpc_channel.cpp:31 RpcChannel | rpc channel created peer=127.0.0.1:18901
2026-04-22 17:58:30.606 INFO pid=135152 tid=135159 tname=rpc-channel-io rpc_channel.cpp:150 onConnection | rpc channel connected peer=127.0.0.1:18901
2026-04-22 17:58:30.607 INFO pid=135152 tid=135152 tname=coro-main coro_smoke.cpp:227 main | OK: coroutine resumed on raft thread; term=42 voteGranted=1
2026-04-23 17:43:14.307 INFO pid=23254 tid=23254 tname=coro-main rpc_server.cpp:30 RegisterService | registered rpc service name=raft.RaftRpc
2026-04-23 17:43:14.308 INFO pid=23254 tid=23256 tname=rpc-worker-0 thread_pool.cpp:11 operator() | worker thread started index=0
2026-04-23 17:43:14.308 INFO pid=23254 tid=23258 tname=rpc-worker-2 thread_pool.cpp:11 operator() | worker thread started index=2
2026-04-23 17:43:14.308 INFO pid=23254 tid=23257 tname=rpc-worker-1 thread_pool.cpp:11 operator() | worker thread started index=1
2026-04-23 17:43:14.309 INFO pid=23254 tid=23255 tname=rpc-server-main rpc_server.cpp:53 Run | rpc server started ip=127.0.0.1 port=18901 io_threads=1 worker_threads=4 services=1
2026-04-23 17:43:14.309 INFO pid=23254 tid=23259 tname=rpc-worker-3 thread_pool.cpp:11 operator() | worker thread started index=3
2026-04-23 17:43:14.509 INFO pid=23254 tid=23254 tname=coro-main rpc_channel.cpp:31 RpcChannel | rpc channel created peer=127.0.0.1:18901
2026-04-23 17:43:14.509 INFO pid=23254 tid=23260 tname=rpc-channel-io rpc_channel.cpp:150 onConnection | rpc channel connected peer=127.0.0.1:18901
2026-04-23 17:43:14.510 INFO pid=23254 tid=23254 tname=coro-main coro_smoke.cpp:227 main | OK: coroutine resumed on raft thread; term=42 voteGranted=1
2026-04-23 18:52:59.333 INFO pid=28619 tid=28619 tname=coro-main rpc_server.cpp:30 RegisterService | registered rpc service name=raft.RaftRpc
2026-04-23 18:52:59.335 INFO pid=28619 tid=28621 tname=rpc-worker-0 thread_pool.cpp:11 operator() | worker thread started index=0
2026-04-23 18:52:59.335 INFO pid=28619 tid=28623 tname=rpc-worker-2 thread_pool.cpp:11 operator() | worker thread started index=2
2026-04-23 18:52:59.336 INFO pid=28619 tid=28622 tname=rpc-worker-1 thread_pool.cpp:11 operator() | worker thread started index=1
2026-04-23 18:52:59.336 INFO pid=28619 tid=28620 tname=rpc-server-main rpc_server.cpp:53 Run | rpc server started ip=127.0.0.1 port=18901 io_threads=1 worker_threads=4 services=1
